Race,Gender,Country,EducationType,MajorUndergraduate,DeveloperType,CompetePeers,CompanySize,CompanyType,JobSatisfaction
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer engineering or electrical/electronics engineering,Embedded applications/devices developer; Developer with a statistics or mathematics background,Agree,1 000 to 4 999 employees,Publicly-traded corporation,9
Hispanic or Latino/Latina; White or of European descent,Male,United States,Self-taught; Hackathon; Open source contributions,A non-computer-focused engineering discipline,Web developer,Disagree,1 000 to 4 999 employees,Publicly-traded corporation,10
East Asian,Male,United States,Industry certification; Self-taught; Coding competition,Computer science or software engineering,Web developer; DevOps specialist,Strongly agree,100 to 499 employees,I don't know,7
White or of European descent,Male,New Zealand,Online course; Self-taught,Computer engineering or electrical/electronics engineering,Web developer; Embedded applications/devices developer; Data scientist,Somewhat agree,100 to 499 employees,Non-profit/non-governmental organization or private school/university,4
White or of European descent,Male,Australia,Self-taught,Computer science or software engineering,Web developer; Developer with a statistics or mathematics background; Desktop applications developer,Disagree,100 to 499 employees,Privately-held limited company  not in startup mode,9
White or of European descent,Male,United States,Online course; Bootcamp; Industry certification; On-the-job training; Self-taught; Coding competition; Hackathon; Open source contributions,A business discipline,Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,Somewhat agree,10 000 or more employees,Publicly-traded corporation,10
White or of European descent,Male,United States,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Data scientist,Disagree,10 000 or more employees,Publicly-traded corporation,9
White or of European descent,Male,Finland,Online course; On-the-job training; Self-taught,Computer science or software engineering,Web developer,Disagree,Fewer than 10 employees,Privately-held limited company  not in startup mode,8
I prefer not to say,Male,India,Online course; On-the-job training; Coding competition; Open source contributions,Computer science or software engineering,Mobile developer; Quality assurance engineer,Strongly disagree,20 to 99 employees,I prefer not to answer,8
Black or of African descent,Male,South Africa,Bootcamp; On-the-job training; Self-taught,Management information systems,Web developer,Somewhat agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
Middle Eastern,Male,Iran,Online course; Industry certification; On-the-job training; Self-taught,Information technology  networking  or system administration,Web developer; Embedded applications/devices developer; Data scientist; Graphic designer; Database administrator; Systems administrator,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,4
South Asian,Female,Myanmar,Bootcamp; Part-time/evening course; On-the-job training,Computer science or software engineering,Web developer,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,7
Middle Eastern; White or of European descent,Male,Israel,On-the-job training; Self-taught,Computer science or software engineering,Desktop applications developer,Agree,5 000 to 9 999 employees,Publicly-traded corporation,6
White or of European descent,Male,United Kingdom,Online course; Industry certification; On-the-job training; Self-taught; Open source contributions,Mathematics or statistics,Other,Somewhat agree,10 000 or more employees,Publicly-traded corporation,6
White or of European descent,Male,Poland,On-the-job training; Self-taught; Open source contributions,Computer science or software engineering,Web developer; Desktop applications developer,Somewhat agree,10 000 or more employees,Privately-held limited company  not in startup mode,8
White or of European descent,Male,United Kingdom,On-the-job training; Self-taught; Hackathon; Open source contributions,I never declared a major,DevOps specialist,Agree,100 to 499 employees,Privately-held limited company  not in startup mode,10
White or of European descent,Male,Luxembourg,Online course; Self-taught; Open source contributions,Something else,Web developer,Disagree,20 to 99 employees,Privately-held limited company  not in startup mode,7
Middle Eastern; White or of European descent,Male,Israel,Online course; On-the-job training; Self-taught; Hackathon; Open source contributions,Computer science or software engineering,Web developer; Machine learning specialist,Somewhat agree,100 to 499 employees,Venture-funded startup,8
